name|entity|chunk_id|count|file
 Bhagadatta|PER|cid_cid_7865a2c8a72a4772917993a792605354|1|kaggle_tilak_summaries.csv
 Dhrishtaketu|PER|cid_cid_5a46cc24edcb4b2a92bc43befec59338|1|kaggle_tilak_summaries.csv
 Indradeva|PER|cid_cid_a1d3592520284ab08464927eb7a0deb0|1|kaggle_tilak_summaries.csv
 Indravarman|PER|cid_cid_a00b209ff37846548ea7f58266426954|1|kaggle_tilak_summaries.csv
 Jayatsena|PER|cid_cid_86289faf26884e858a10b98e07535291|1|kaggle_tilak_summaries.csv
 Karna|MISC|cid_cid_e5ebf916f41145ec89cfa7d251d08b22|1|kaggle_tilak_summaries.csv
 Krishna|PER|cid_cid_3653a09232a14b4c9eeebed0c64f0a4b|1|kaggle_tilak_summaries.csv
 Krishna|PER|cid_cid_580dfb9da27c4bb283696a1a3cd3d2c5|1|kaggle_tilak_summaries.csv
 Kritavarman|PER|cid_cid_f77aee988d23482688aa7b8a2f9b484a|1|kaggle_tilak_summaries.csv
 Lord|MISC|cid_cid_006f303efd1b4fa7bf46edd164934566|1|kaggle_tilak_summaries.csv
 Maharaja Bhima|PER|cid_cid_004d91f689334c629e8a02897a8dddc2|1|kaggle_tilak_summaries.csv
 O|MISC|cid_cid_3aa64e31f33741eb8daa9633c09c37d0|1|kaggle_tilak_summaries.csv
 O|MISC|cid_cid_85460a42ebcd41da875aee94f10bba65|1|kaggle_tilak_summaries.csv
 O Kesava|MISC|cid_cid_44407b5e5f4842a8ae0d820c7c44d36d|1|kaggle_tilak_summaries.csv
 Salya|PER|cid_cid_c9830bde1cb44618a67773766054d25d|1|kaggle_tilak_summaries.csv
 Salya|PER|cid_cid_79ae6af1c0e54d88a853093302219d35|1|kaggle_tilak_summaries.csv
 Shrutayus|PER|cid_cid_5f2776345e9040c39174f5f73c119ce8|1|kaggle_tilak_summaries.csv
 Shrutayus|PER|cid_cid_95fe206a786d4f4c943df8c7984dc417|1|kaggle_tilak_summaries.csv
 Susharman|PER|cid_cid_58994e5e7f0c4d2f96cd0b687d2f2088|1|kaggle_tilak_summaries.csv
 Virata|PER|cid_cid_49de81171abd413c890a794d9a79ef49|1|kaggle_tilak_summaries.csv
 Virata|PER|cid_cid_be254addbb5f47c592f3520fb7cff2e3|1|kaggle_tilak_summaries.csv
 Vishnu|PER|cid_cid_fa41c8054aa74e88bb115ad7e6e2f39f|1|kaggle_tilak_summaries.csv
 the Personality of Godhead|MISC|cid_cid_990ba12b388d48bcbaccab46fcace610|1|kaggle_tilak_summaries.csv
 the Supreme Personality of Godhead|MISC|cid_cid_fc1f45f198494eeb929e759c15823987|1|kaggle_tilak_summaries.csv
