entity|description|source
Abhimanyu|son of Arjuna and Subhadra; husband of Uttarai; father of Parikshit|http://100words.lauragibbs.net/
Agni|fire-god.|http://100words.lauragibbs.net/
Airavata|elephant vehicle of the god Indra.|http://100words.lauragibbs.net/
Amba|daughter of the king of Kashi; later reincarnated as Shikhandin.|http://100words.lauragibbs.net/
Ambalika|daughter of the king of Kashi; wife of Vichitravirya; mother of Pandu.|http://100words.lauragibbs.net/
Ambika|daughter of the king of Kashi; wife of Vichitravirya; mother of Dhritarashtra.|http://100words.lauragibbs.net/
Amravati|region of heaven associated with music, dancing, and other pleasures.|http://100words.lauragibbs.net/
Anga|ancient kingdom in eastern India.|http://100words.lauragibbs.net/
Angaraparna|gandharva whom the Pandavas encountered in their exile.|http://100words.lauragibbs.net/
apsaras|celestial beings of great beauty associated with music and dancing.|http://100words.lauragibbs.net/
Arjuna|one of the five Pandava brothers; son of Kunti and the storm-god Indra.|http://100words.lauragibbs.net/
ashrams|hermitages; the secluded homes of holy people.|http://100words.lauragibbs.net/
Ashwapati|king of Madra; father of Savitri.|http://100words.lauragibbs.net/
Ashwasena|naga; son of Takshaka, king of the nagas.|http://100words.lauragibbs.net/
Ashwatthama|son of Drona.|http://100words.lauragibbs.net/
Ashwins|twin gods of healing and of the dawn; divine fathers of Nakula and Sahadeva.|http://100words.lauragibbs.net/
Astika|son of a rishi and a naga-woman.|http://100words.lauragibbs.net/
astras|celestial weapons imbued with the powers of gods or natural forces.|http://100words.lauragibbs.net/
asuras|supernatural beings of great power, often opposed to devas or humans.|http://100words.lauragibbs.net/
avatar|"earthly incarnation (""descent"") of a god or goddess."|http://100words.lauragibbs.net/
Ayodhya|capital of the kingdom of Kosala; home of Rama.|http://100words.lauragibbs.net/
Baka|asura who tormented the village of Ekachakra.|http://100words.lauragibbs.net/
Balarama|elder brother of Krishna; he used both a mace and a plow as weapons.|http://100words.lauragibbs.net/
Barbarika|son of Bhima and a naga-woman.|http://100words.lauragibbs.net/
Bhagadatta|king who fought on the Kaurava side in the Kurukshetra War.|http://100words.lauragibbs.net/
Bhagavad-Gita|God-Song that Krishna recited to Arjuna before the battle of Kurukshetra.|http://100words.lauragibbs.net/
Bharadwaja|rishi; father of Drona; guru to the young Drupada.|http://100words.lauragibbs.net/
Bhima|one of the five Pandava brothers; son of Kunti and the wind-god Vayu.|http://100words.lauragibbs.net/
Bhishma|son of Shantanu and the goddess Ganga; great-uncle to the Pandavas.|http://100words.lauragibbs.net/
Bhudevi|goddess of the earth.|http://100words.lauragibbs.net/
Brahma|god of creation; one of the supreme divinities with Vishnu and Shiva.|http://100words.lauragibbs.net/
Brahmastra|Brahma-weapon; celestial weapon able to destroy the world.|http://100words.lauragibbs.net/
brahmins|members of the priestly class.|http://100words.lauragibbs.net/
Brihannala|identity used by Arjuna when disguised as a dance-teacher in Virata's court.|http://100words.lauragibbs.net/
Chedi|Indian kingdom to the south of the Yamuna river.|http://100words.lauragibbs.net/
Chiranjivi|"""Immortals"" who will live until the end of the world-cycle."|http://100words.lauragibbs.net/
Chitrangada|son of Shantanu and Satyavati; elder brother of Vichitravirya.|http://100words.lauragibbs.net/
Chitrangada|gandharva with the same name as the son of Shantanu and Satyavati.|http://100words.lauragibbs.net/
Damayanti|princess who married King Nala.|http://100words.lauragibbs.net/
Dasharatha|king of Ayodhya; father of Rama whose story is told in the Ramayana.|http://100words.lauragibbs.net/
devas|divine beings, gods.|http://100words.lauragibbs.net/
Devavrata|birth name of Bhishma, son of Shantanu and the goddess Ganga.|http://100words.lauragibbs.net/
dharma|that which is right and true; duty; justice.|http://100words.lauragibbs.net/
Dhrishtadyumna|fire-born son of Drupada; brother of Draupadi.|http://100words.lauragibbs.net/
Dhritarashtra|blind son of Vyasa and Ambika; husband of Gandhari.|http://100words.lauragibbs.net/
Draupadi|fire-born daughter of Drupada; wife of the five Pandavas.|http://100words.lauragibbs.net/
Drona|son of Bharadwaja; guru to the Kauravas and the Pandavas.|http://100words.lauragibbs.net/
Drupada|king of Panchala; father of Draupadi, Dhrishtadyumna, and Shikhandin.|http://100words.lauragibbs.net/
Duhshala|daughter of Gandhari and Dhritarashtra; wife of Jayadratha.|http://100words.lauragibbs.net/
Durjaya|son of Duryodhana; his story is told in Bhasa's play Urubhangam.|http://100words.lauragibbs.net/
Durvasa|rishi notorious for his bad temper.|http://100words.lauragibbs.net/
Duryodhana|eldest son of Dhritarashtra and Gandhari; leader of the Kaurava armies.|http://100words.lauragibbs.net/
Dushasana|son of Dhritarashtra and Gandhari; younger brother of Duryodhana.|http://100words.lauragibbs.net/
Dvapara Yuga|third age of the world; following the Treta Yuga, preceding the Kali Yuga.|http://100words.lauragibbs.net/
Dwaraka|ancient city on the western coast of India; home to Krishna.|http://100words.lauragibbs.net/
Ekachakra|village in western India visited by the Pandavas.|http://100words.lauragibbs.net/
Ekalavya|forest-dweller who sought to study archery under Drona.|http://100words.lauragibbs.net/
Gandhara|kingdom in northern India.|http://100words.lauragibbs.net/
Gandhari|wife of Dhritarashtra; mother of one hundred sons, including Duryodhana.|http://100words.lauragibbs.net/
gandharvas|celestial musicians who are also messengers between gods and humans.|http://100words.lauragibbs.net/
Gandiva|bow of Arjuna made by the god Brahma.|http://100words.lauragibbs.net/
Ganesha|elephant-headed god; he wrote the Mahabharata as Vyasa dictated.|http://100words.lauragibbs.net/
Ganga|goddess of the river Ganga; wife of Shantanu; mother of Bhishma.|http://100words.lauragibbs.net/
Ganges|sacred river brought to earth by the goddess Ganga.|http://100words.lauragibbs.net/
Ghatotkacha|rakshasa; son of Bhima and Hidimbi.|http://100words.lauragibbs.net/
Granthika|identity used by Nakula when disguised as a horse-trainer in Virata's court.|http://100words.lauragibbs.net/
guru|teacher, guide, expert.|http://100words.lauragibbs.net/
Hanuman|monkey-son of Vayu, god of the wind; loyal follower of Rama.|http://100words.lauragibbs.net/
Hastinapura|capital city of the Kuru Kingdom.|http://100words.lauragibbs.net/
Hidimba|rakshasa; brother of Hidimbi.|http://100words.lauragibbs.net/
Hidimbi|rakshasi; wife of Bhima; mother of Ghatotkacha.|http://100words.lauragibbs.net/
Hiranyavarna|king of Dasharna; his daughter was betrothed to Shikhandin.|http://100words.lauragibbs.net/
Indra|god of storms and the sky; divine father of Arjuna.|http://100words.lauragibbs.net/
Indraloka|Indra's-Place; region of heaven (Svarga) that is also called Amravati.|http://100words.lauragibbs.net/
Indraprastha|capital city of the kingdom of the Pandavas.|http://100words.lauragibbs.net/
Iravan|son of Arjuna and Ulupi.|http://100words.lauragibbs.net/
Jaimini|disciple of Vyasa; a version of the Mahabharata is attributed to him.|http://100words.lauragibbs.net/
Janamejaya|king of Hastinapura; son of Parikshit.|http://100words.lauragibbs.net/
Jara|hunter who shot Krishna.|http://100words.lauragibbs.net/
jaya|"Sanskrit word meaning ""victory."""|http://100words.lauragibbs.net/
Jayadratha|king of Sindhu; husband of Duhshala.|http://100words.lauragibbs.net/
Kali|goddess; manifestation of Shakti, divine energy.|http://100words.lauragibbs.net/
Kali Yuga|fourth (and worst) age of the world; follows the Dvapara Yuga.|http://100words.lauragibbs.net/
Kalpataru|wish-fulfilling tree in Amravati.|http://100words.lauragibbs.net/
Kanka|identity used by Yudhishthira when disguised as a brahmin in Virata's court.|http://100words.lauragibbs.net/
karma|action; chain of action and consequence.|http://100words.lauragibbs.net/
Karna|son of Kunti and the sun-god Surya.|http://100words.lauragibbs.net/
Kashi|ancient kingdom of India with its capital at Varanasi (Benares).|http://100words.lauragibbs.net/
Kashya|king of Kashi; father of Amba, Ambika, and Ambalika.|http://100words.lauragibbs.net/
Kauravas|descendants of Kuru; more specifically, Duryodhana and his brothers.|http://100words.lauragibbs.net/
Khandava-prastha|forest wilderness given to the Pandavas as their kingdom.|http://100words.lauragibbs.net/
Kichaka|general of the armies of King Virata; brother of Queen Sudeshna.|http://100words.lauragibbs.net/
Kindama|rishi of the forest who was able to take the form of a deer.|http://100words.lauragibbs.net/
Kishkindha|legendary kingdom of the monkeys (vanaras) in the epic Ramayana.|http://100words.lauragibbs.net/
Kripa|adopted son of King Shantanu; brother-in-law of Drona; Ashwatthama's uncle.|http://100words.lauragibbs.net/
Krishna|eighth avatar of the god Vishnu; brother of Balarama and of Subhadra.|http://100words.lauragibbs.net/
