;book;wiki_link;description;start_chapter;end_chapter;book_number;contents;summary
0;Adi Parva;https://en.wikipedia.org/wiki/Adi_Parva;The Book of the Beginning;1;19;1;How the Mahabharata came to be narrated by Sauti to the assembled rishis at Naimisharanya, after having been recited at the sarpasattra of Janamejaya by Vaishampayana at Takṣaśilā. The history and genealogy of the Bharata and Bhrigu races is recalled, as is the birth and early life of the Kuru princes (adi means first).;"The Adi Parva or The Book of the Beginning is the first of eighteen books of the Mahabharata. ""Ādi"" (आदि) in Sanskrit means ""first"".
Adi Parva traditionally has 19 parts and 236 adhyayas (chapters). The critical edition of Adi Parva has 19 parts and 225 chapters.Adi Parva describes how the epic came to be recited by Ugrasrava Sauti to the assembled rishis at the Naimisha Forest after first having been narrated at the sarpasatra of Janamejaya by Vaishampayana at Taxila. It includes an outline of contents from the eighteen books, along with the book's significance. The history of the Bhāratas and the Bhrigus are described. The main part of the work covers the birth and early life of the princes of the Kuru Kingdom and the persecution of the Pandavas by Dhritarashtra."
1;Sabha Parva;https://en.wikipedia.org/wiki/Sabha_Parva;The Book of the Assembly Hall;20;28;2;Maya Danava erects the palace and court (sabha), at Indraprastha. Life at the court, Yudhishthira's Rajasuya Yajna, the game of dice, the disrobing of Pandava wife Draupadi and eventual exile of the Pandavas.;"Sabha Parva, also called the ""Book of the Assembly Hall"", is the second of eighteen books of Mahabharata. Sabha Parva traditionally has 10 parts and 81 chapters. The critical edition of Sabha Parva has 9 parts and 72 chapters.Sabha Parva starts with the description of the palace and assembly hall (sabha) built by Maya, at Indraprastha. Chapter 5 of the book outlines over a hundred principles of governance and administration necessary for a kingdom and its citizens to be prosperous, virtuous and happy. The middle parts describe life at the court, Yudhishthira's Rajasuya Yajna that leads to the expansion of the Pandava brothers' empire. The last two parts describe the one vice and addiction of the virtuous king Yudhishthira - gambling. Shakuni, encouraged by Duryodhana, mocks Yudhishthira and tempts him into a game of dice. Yudhishthira bets everything and loses the game, leading to the eventual exile of the Pandavas.The book also details the principle of evil and crime against humanity, of why individuals who themselves have not been harmed must act regardless when society at large suffers systematic crime and injustice - this theory is outlined in the story of Magadha, Chapters 20 through 24, where the trio of Krishna, Arjuna and Bhima slay Jarasandha."
2;Vana Parva;https://en.wikipedia.org/wiki/Vana_Parva;The Book of the Forest;29;44;3;The twelve years of exile in the forest (aranya).;"The Vana Parva, also known as the ""Book of the Forest"", is the third of eighteen parvas in the Indian epic Mahabharata. Vana Parva traditionally has 21 parts and 324 chapters. The critical edition of Vana Parva is the longest of the 18 books in the epic, containing 16 parts and 299 chapters.The parva is a chronicle of the twelve-year journey of the Pandavas in a forest, where they learn life lessons and build character.Vana Parva contains discourses on virtues and ethics; myths of  Arjuna, Yudhishthara, and Bhima; and the tales of ""Nahusha the Snake and Yudhishthira"" and ""Ushinara and the Hawk"". It also includes the love stories of ""Nala and Damayanti"" and ""Savitri and Satyavan""."
3;Virata Parva;https://en.wikipedia.org/wiki/Virata_Parva;The Book of Virata;45;48;4;The year spent incognito at the court of Virata.;Virata Parva, also known as the “Book of Virata”, is the fourth of eighteen books of the Indian epic Mahabharata. Virata Parva traditionally has 4 parts and 72 chapters. The critical edition of Virata Parva has 4 parts and 67 chapters.It discusses the 13th year of exile which the Pandavas must spend incognito to avoid another 12 years of exile in the forest. They do so in the court of Virata. They assume a variety of identities. Yudhishthira assumes the identity of game entertainer to the king and calls himself Kanka, Bhima of a cook Ballava, Arjuna teaches dance and music as eunuch Brihannala and dresses as a woman, Nakula tends horses as Granthika, Sahadeva herds cows as Tantipala, and Draupadi in the name of Malini went as Sairandhri to queen Shudeshna.
4;Udyoga Parva;https://en.wikipedia.org/wiki/Udyoga_Parva;The Book of the Effort;49;59;5;Preparations for war and efforts to bring about peace between the Kaurava and the Pandava sides which eventually fail (udyoga means effort or work).;The Udyoga Parva (Sanskrit: उद्योग पर्वः), or the Book of Effort, is the fifth of eighteen books of the Indian epic Mahābhārata. Udyoga Parva traditionally has 10 parts and 199 chapters. The critical edition of Sabha Parva has 12 parts and 197 chapters.Udyoga Parva describes the period immediately after the exile of Pandavas had ended. The Pandavas return, demand their half of the kingdom. The Kauravas refuse. The book includes the effort for peace that fails, followed by the effort to prepare for the great war—the Kurukshetra War.Vidura Niti, a theory of leadership as propounded by Vidura, is embedded in Udyoga Parva (Chapters 33–40). The Sanatsujatiya, a text commented upon by Adi Shankara, is contained within the Udyoga Parva (Chapters 41–46).
5;Bhishma Parva;https://en.wikipedia.org/wiki/Bhishma_Parva;The Book of Bhishma;60;64;6;The first part of the great battle, with Bhishma as commander for the Kaurava and his fall on the bed of arrows. (Includes the Bhagavad Gita in chapters 25[26]-42.[27]);"The Bhishma Parva (Sanskrit: भीष्म पर्व), or the Book of Bhishma, is the sixth of eighteen books of the Indian epic Mahabharata. 
It is the only Parva in Mahabharata where the main hero is not Karna but is rather Bhishma and Krishna. For the first time, Krishna's character has been given deep importance by Vyasa in this Parva, and the first time in Mahabharata where his character is revealed when he shows his divine form. Vyasa's Mahabharata is centered around the journey of Karna, but the story doesn't belong to him alone, several other characters like Bhishma and Krishna have important role in the journey of Karna and his brothers. It traditionally has 4 parts and 122 chapters.This book of the Mahabharata includes the widely studied Bhagavad Gita, sometimes referred to as Gita, or The Song of the Lord, or The Celestial Song. Chapters of the Bhagavad Gita describe Arjuna's questioning of the purpose of war, the ultimate effects of violence, and the meaning of life. Arjuna's doubts and metaphysical questions are answered by Krishna. Other treatises in the Bhishma Parva include the just war theory in ancient India, as well as strategies and tactics. The book describes the deaths of Uttar (brother-in-law of Abhimanyu and brother of Uttara, the wife of Abhimanyu, and also Bhishma's fall, respectively on the 1st and 10th days of the war. Karna did not fight in these first ten days, on Bhishma's orders."
6;Drona Parva;https://en.wikipedia.org/wiki/Drona_Parva;The Book of Drona;65;72;7;The battle continues, with Drona as commander. This is the major book of the war. Most of the great warriors on both sides are dead by the end of this book.;The Drona Parva (Sanskrit: द्रोण पर्व), or the Book of Drona, is the seventh of eighteen books of the Indian epic Mahabharata. Drona Parva traditionally has 8 parts and 204 chapters. The critical edition of Drona Parva has 8 parts and 173 chapters.Drona Parva describes the appointment of Drona as commander-in-chief of the Kaurava alliance, on the 11th day of the Kurukshetra War, the next four days of battles, and his death on the 15th day of the 18-day war. The parva recites how the war became more brutal with each passing day, how agreed rules of a just war began to be ignored by both sides as loved ones on each side were slain, how the war extended into the night, and how millions of more soldiers and major characters of the story - Abhimanyu, Jayadratha, Drona, Ghatotkacha - died during the war.
7;Karna Parva;https://en.wikipedia.org/wiki/Karna_Parva;The Book of Karna;73;;8;The continuation of the battle with Karna as commander of the Kaurava forces.;The Karna Parva (Sanskrit: कर्ण पर्व), or the Book of Karna, is the eighth of eighteen books of the Indian Epic Mahabharata. Karna Parva traditionally has 96 chapters. The critical edition of Karna Parv has 69 chaptersKarna Parva describes the appointment of Karna as the third commander-in-chief of the Kaurava alliance. The Parva recites how war begins to tire and frustrate everyone. This book describes how brutal war leads to horrifying behavior over the 16th and 17th day of the 18-day Kurukshetra War. Karna who is critically acclaimed as the hero of the Mahabharata is the greatest archers of all time equivalent to Parshurama and lord Rama himself  Karna Parva includes a treatise by Aswatthama which focuses on the motive of the deeds of human life. The crowning incident of this Parva is the final confrontation between Karna and Arjuna, in which Karna is killed.
8;Shalya Parva;https://en.wikipedia.org/wiki/Shalya_Parva;The Book of Shalya;74;77;9;The last day of the battle, with Shalya as commander. Also told in detail, is the pilgrimage of Balarama to the fords of the river Saraswati and the mace fight between Bhima and Duryodhana which ends the war, since Bhima kills Duryodhana by smashing him on the thighs with a mace.;The Shalya Parva (Sanskrit: शल्य पर्व), or the Book of Shalya, is the ninth of eighteen books of the Indian epic Mahabharata. Shalya Parva traditionally has 4 parts and 65 chapters. The critical edition of Shalya Parva has 4 parts and 64 chapters.Shalya Parva describes the appointment of Shalya as the fourth commander-in-chief of the Kaurava alliance, on the 18th day of the Kurukshetra War. The parva recites Salya's death, how Duryodhana becomes mortally wounded and out of the entire Kaurava army, only 3 survive. Shalya parva also describes how Pandavas and Krishna are victorious in the war, but lament the enormous toll of the 18-day war on human lives on both sides. The book mentions the anger and hatred among survivors on the Kauravas side, particularly Duryodhana, Aswatthama, Kritavarman and Kripa.
9;Sauptika Parva;https://en.wikipedia.org/wiki/Sauptika_Parva;The Book of the Sleeping Warriors;78;80;10;Ashvattama, Kripa and Kritavarma kill the remaining Pandava army in their sleep. Only 7 warriors remain on the Pandava side and 3 on the Kaurava side.;"The Sauptika Parva (Sanskrit: सौप्तिक पर्व), or the ""Book of the Sleepers,"" is the tenth of eighteen books of the Indian Epic Mahabharata. Sauptika Parva traditionally has 2 parts and 18 chapters, as does the critical edition.Sauptika Parva is mainly the story of the revenge of the 3 survivors of the Kaurava army - Ashwatthama, Kritavarma and Kripacharya. These 3 attacked the Pandava camp at night, when everyone was sleeping, or inactive. Ashwatthama killed several warriors of the Pandava camp, such as the commander Dhrishtadyumna, the Upapandavas, Shikhandini, Uttamaujas, Yudhamanyu and several others. Eventually, only 8 participants of the war from the Pandava camp - the Pandavas, Krishna, Satyaki and Yuyutsu - survive."
