,entity,description
0,Abhimanyu,son of Arjuna and Subhadra; husband of Uttarai; father of Parikshit
1,Agni,fire-god.
2,Airavata,elephant vehicle of the god Indra.
3,Amba,daughter of the king of Kashi; later reincarnated as Shikhandin.
4,Ambalika,daughter of the king of Kashi; wife of Vichitravirya; mother of Pandu.
5,Ambika,daughter of the king of Kashi; wife of Vichitravirya; mother of Dhritarashtra.
6,Amravati,"region of heaven associated with music, dancing, and other pleasures."
7,Anga,ancient kingdom in eastern India.
8,Angaraparna,gandharva whom the Pandavas encountered in their exile.
9,apsaras,celestial beings of great beauty associated with music and dancing.
10,Arjuna,one of the five Pandava brothers; son of Kunti and the storm-god Indra.
11,ashrams,hermitages; the secluded homes of holy people.
12,Ashwapati,king of Madra; father of Savitri.
13,Ashwasena,"naga; son of Takshaka, king of the nagas."
14,Ashwatthama,son of Drona.
15,Ashwins,twin gods of healing and of the dawn; divine fathers of Nakula and Sahadeva.
16,Astika,son of a rishi and a naga-woman.
17,astras,celestial weapons imbued with the powers of gods or natural forces.
18,asuras,"supernatural beings of great power, often opposed to devas or humans."
19,avatar,"earthly incarnation (""descent"") of a god or goddess."
20,Ayodhya,capital of the kingdom of Kosala; home of Rama.
21,Baka,asura who tormented the village of Ekachakra.
22,Balarama,elder brother of Krishna; he used both a mace and a plow as weapons.
23,Barbarika,son of Bhima and a naga-woman.
24,Bhagadatta,king who fought on the Kaurava side in the Kurukshetra War.
25,Bhagavad-Gita,God-Song that Krishna recited to Arjuna before the battle of Kurukshetra.
26,Bharadwaja,rishi; father of Drona; guru to the young Drupada.
27,Bhima,one of the five Pandava brothers; son of Kunti and the wind-god Vayu.
28,Bhishma,son of Shantanu and the goddess Ganga; great-uncle to the Pandavas.
29,Bhudevi,goddess of the earth.
30,Brahma,god of creation; one of the supreme divinities with Vishnu and Shiva.
31,Brahmastra,Brahma-weapon; celestial weapon able to destroy the world.
32,brahmins,members of the priestly class.
33,Brihannala,identity used by Arjuna when disguised as a dance-teacher in Virata's court.
34,Chedi,Indian kingdom to the south of the Yamuna river.
35,Chiranjivi,"""Immortals"" who will live until the end of the world-cycle."
36,Chitrangada,son of Shantanu and Satyavati; elder brother of Vichitravirya.
37,Chitrangada,gandharva with the same name as the son of Shantanu and Satyavati.
38,Damayanti,princess who married King Nala.
39,Dasharatha,king of Ayodhya; father of Rama whose story is told in the Ramayana.
40,devas,"divine beings, gods."
41,Devavrata,"birth name of Bhishma, son of Shantanu and the goddess Ganga."
42,dharma,that which is right and true; duty; justice.
43,Dhrishtadyumna,fire-born son of Drupada; brother of Draupadi.
44,Dhritarashtra,blind son of Vyasa and Ambika; husband of Gandhari.
45,Draupadi,fire-born daughter of Drupada; wife of the five Pandavas.
46,Drona,son of Bharadwaja; guru to the Kauravas and the Pandavas.
47,Drupada,"king of Panchala; father of Draupadi, Dhrishtadyumna, and Shikhandin."
48,Duhshala,daughter of Gandhari and Dhritarashtra; wife of Jayadratha.
49,Durjaya,son of Duryodhana; his story is told in Bhasa's play Urubhangam.
50,Durvasa,rishi notorious for his bad temper.
51,Duryodhana,eldest son of Dhritarashtra and Gandhari; leader of the Kaurava armies.
52,Dushasana,son of Dhritarashtra and Gandhari; younger brother of Duryodhana.
53,Dvapara Yuga,"third age of the world; following the Treta Yuga, preceding the Kali Yuga."
54,Dwaraka,ancient city on the western coast of India; home to Krishna.
55,Ekachakra,village in western India visited by the Pandavas.
56,Ekalavya,forest-dweller who sought to study archery under Drona.
57,Gandhara,kingdom in northern India.
58,Gandhari,"wife of Dhritarashtra; mother of one hundred sons, including Duryodhana."
59,gandharvas,celestial musicians who are also messengers between gods and humans.
60,Gandiva,bow of Arjuna made by the god Brahma.
61,Ganesha,elephant-headed god; he wrote the Mahabharata as Vyasa dictated.
62,Ganga,goddess of the river Ganga; wife of Shantanu; mother of Bhishma.
63,Ganges,sacred river brought to earth by the goddess Ganga.
64,Ghatotkacha,rakshasa; son of Bhima and Hidimbi.
65,Granthika,identity used by Nakula when disguised as a horse-trainer in Virata's court.
66,guru,"teacher, guide, expert."
